id,level,name,position,jurisdiction,state,email,phone,description,categories
1,Federal,Bola Ahmed Tinubu,President,Federal,Lagos,president.tinubu@gov.ng,2347001110001,"Head of state and government, oversees executive branch, commander-in-chief of armed forces","Governance & Representation"
2,Federal,Kashim Shettima,Vice President,Federal,Borno,vp.shettima@gov.ng,2347001110002,"Supports the President, assumes presidency if needed, may oversee special initiatives","Governance & Representation"
3,Federal,Godswill Akpabio,Senate President,Federal,Akwa Ibom,akpabio.senate@nass.ng,2347001110003,"Presides over Senate proceedings, leads legislative agenda at federal level","Governance & Representation"
4,Federal,Tajudeen Abbas,Speaker (House of Reps),Federal,Kaduna,speaker.abbas@nass.ng,2347001110004,"Presides over House of Representatives, manages legislative business","Governance & Representation"
5,Federal,Olukayode Ariwoola,Chief Justice of Nigeria,Federal,Oyo,cj.ariwoola@judiciary.ng,2347001110005,"Head of judiciary, oversees federal court system, interprets constitution","Governance & Representation"
6,Federal,Wale Edun,Minister of Finance,Federal,Ogun,finance.edun@gov.ng,2347001110006,"Manages national finances, oversees budget implementation, fiscal policy","Taxes & Levies"
7,Federal,Mohammed Pate,Minister of Health,Federal,Bauchi,health.pate@gov.ng,2347001110007,"Oversees national healthcare system, formulates health policies","Health Services"
8,Federal,Lateef Fagbemi (SAN),Attorney General,Federal,Kwara,ag.fagbemi@justice.gov.ng,2347001110008,"Chief legal officer, advises government, represents in legal matters","Governance & Representation"
9,Federal,Tahir Mamman,Minister of Education,Federal,Adamawa,education.mamman@gov.ng,2347001110009,"Oversees education policies, manages federal educational institutions","Education"
10,Federal,Abubakar Kyari,Minister of Agriculture,Federal,Borno,agriculture.kyari@gov.ng,2347001110010,"Develops agricultural policies, ensures food security, supports farmers","Markets & Small Business"
11,Federal,Dave Umahi,Minister of Works,Federal,Ebonyi,works.umahi@gov.ng,2347001110011,"Oversees federal road infrastructure, public works projects","Roads & Infrastructure"
12,Federal,Bosun Tijani,Minister of Communications,Federal,Lagos,communications.tijani@gov.ng,2347001110012,"Develops ICT policies, regulates telecommunications sector","Markets & Small Business"
13,Federal,Dele Alake,Minister of Solid Minerals,Federal,Ekiti,minerals.alake@gov.ng,2347001110013,"Oversees mining sector, formulates mineral resource policies","Markets & Small Business"
14,Federal,Doris Uzoka-Anite,Minister of Industry/Investment,Federal,Imo,industry.uzoka@gov.ng,2347001110014,"Promotes industrial growth, attracts foreign investments","Markets & Small Business"
15,Federal,Abubakar Momoh,Minister of Niger Delta,Federal,Edo,nigerdelta.momoh@gov.ng,2347001110015,Oversees development initiatives in Niger Delta region,"Social Services"
16,Federal,Bunmi Tunji-Ojo,Minister of Interior,Federal,Ondo,interior.tunji-ojo@gov.ng,2347001110016,"Oversees internal security, immigration, prisons, and civil defense","Public Safety & Security"
17,Federal,Lola Ade-John,Minister of Tourism,Federal,Lagos,tourism.adejohn@gov.ng,2347001110017,"Develops tourism policies, promotes cultural heritage","Markets & Small Business"
18,Federal,Uche Nnaji,Minister of Innovation/Science,Federal,Enugu,science.nnaji@gov.ng,2347001110018,"Promotes scientific research, technology innovation","Markets & Small Business"
19,Federal,Imaan Suleiman-Ibrahim,Minister of Humanitarian Affairs,Federal,Nasarawa,humanitarian.suleiman@gov.ng,2347001110019,"Coordinates disaster response, social intervention programs","Social Services"
20,Federal,Shuaibu Audu,Minister of Steel Development,Federal,Kogi,steel.audu@gov.ng,2347001110020,"Oversees steel industry development, metallurgical projects","Markets & Small Business"
21,Federal,Adebayo Adelabu,Minister of Power,Federal,Oyo,power.adelabu@gov.ng,2347001110021,"Oversees electricity generation, transmission, and distribution","Electricity & Power"
22,Federal,Mohammed Badaru,Minister of Defence,Federal,Jigawa,defence.badaru@gov.ng,2347001110022,"Oversees armed forces, formulates defense policies","Public Safety & Security"
23,Federal,Simon Lalong,Minister of Labour,Federal,Plateau,labour.lalong@gov.ng,2347001110023,"Oversees labor relations, employment, and productivity","Jobs & Youth Empowerment"
24,Federal,Nyesom Wike,Minister of FCT,Federal,Rivers,fct.wike@gov.ng,2347001110024,"Administers Federal Capital Territory, oversees Abuja development","Housing & Urban Planning"
25,Federal,Festus Keyamo,Minister of Aviation,Federal,Delta,aviation.keyamo@gov.ng,2347001110025,"Oversees aviation sector, airport infrastructure, safety regulations","Markets & Small Business"
